"exp","k0","k6"
4.09691058728137,3.79189247553949,4.0078558189269
4.08979084615842,3.77516895127968,3.99609535985403
4.08278594458977,3.77429619603831,3.99487708936864
4.07589223664186,3.77247010397237,3.98674546460509
4.06910624729857,3.76469830554193,3.98552233592046
4.06242466194206,3.75415995461127,3.98302667340868
4.05584431663074,3.75322496371171,3.98121167667205
4.04936218910282,3.74645243003501,3.96657972380326
4.04297539044142,3.74437187358325,3.96440725702261
4.03668115734373,3.73938074201058,3.94125964517292
4.03047684494244,3.73652295206164,3.93055146301605
4.02435992013276,3.7357779518306,3.92942171283627
4.01832795536285,3.73293580732316,3.92866932059316
4.01237862284965,3.7284247650161,3.92412205430806
4.00650968918555,3.71837247075398,3.92166283552018
4.00071901030465,3.71758088471178,3.91338515483579
3.99500452678022,3.71054248201307,3.91054855868263
3.98936425942753,3.70605973799162,3.90763886262186
3.98379630518859,3.70519315825032,3.8993230992343
3.97829883327737,3.70457842405824,3.89811505682617
3.97287008156597,3.70456745933065,3.89420483087237
3.96750835319386,3.69771776161206,3.88515959903756
3.96221201338392,3.69372569156023,3.87546392313361
3.95697948645024,3.68044547084152,3.86505690908659
3.95180925298415,3.66511074744481,3.85746195164632
3.94669984720567,3.65939192076174,3.85580139640805
3.94164985446903,3.65735439544598,3.85323652176673
3.93665790891153,3.65456099047562,3.8458314056505
3.93172269123602,3.64665949511712,3.83633245249416
3.92684292661793,3.64252189860111,3.82753354964683
3.92201738272864,3.63973270359913,3.82538156703089
3.91724486786739,3.63580179637785,3.81808738287472
3.91252422919481,3.63430122945071,3.81776623954058
3.90785435106132,3.63254679893037,3.81702901172154
3.90323415342458,3.62922862718428,3.81561325994777
3.89866259035009,3.62873394122367,3.81432259687228
3.89413864859005,3.62410571313541,3.80807228867247
3.8896613462353,3.62025793849487,3.8060936751487
3.88522973143623,3.61460992592024,3.80548814479979
3.88084288118812,3.61437492912656,3.79937273552795
3.87649990017733,3.6121799192036,3.79925516860737
3.87219991968461,3.60122389075143,3.79323025773962
3.86794209654207,3.59493873466689,3.79285417330213
3.8637256121409,3.59075439304138,3.79081925849012
3.85954967148677,3.58924806899265,3.78825007686508
3.85541350230013,3.5856458999397,3.78734723841745
3.85131635415908,3.57880375296952,3.77551461526748
3.84725749768222,3.57592327181746,3.76851369606349
3.84323622374929,3.56626645842722,3.76785713880266
3.8392518427577,3.56590606627944,3.75701925244014
3.83530368391271,3.56567838673809,3.75379855046497
3.83139109454966,3.56197342756889,3.74477257748727
3.82751343948646,3.55408596028761,3.74363549402439
3.8236701004047,3.55395319453399,3.73524326035106
3.81986047525793,3.55245760774482,3.73064824837666
3.81608397770568,3.54851357458439,3.72887646308184
3.8123400365718,3.53786229434965,3.72745647614906
3.80862809532609,3.52786950568945,3.72548696481696
3.80494761158772,3.52739714413561,3.71003803582875
3.80129805664968,3.52393432701484,3.70965340427583
3.79767891502295,3.52316044471791,3.70539014048911
3.79408968399951,3.51837160253201,3.70446944107827
3.79052987323329,3.51522716230449,3.70159824188211
3.78699900433816,3.5149716134465,3.70042821198713
3.78349661050209,3.51048308367706,3.69963668764376
3.78002223611678,3.50587152682283,3.69750951941878
3.776575436422,3.499997740985,3.69723401376923
